MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1455	D	232775674			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	860034313	BANCO DAVIVIENDA S.A.   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202409	01/09/24	2	906	NOTAS CONTABLES	552	D	0,24			13020501001	FONDO COMUN ORDINARIO 1	AJUSTE RENDIMIENTOS ENCARGOS  INDIVIDUALES	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	BBENITEZ	01/09/24	01/09/2024 12:00:00
80240	202409	01/09/24	2	906	NOTAS CONTABLES	551	C	-0,24			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	AJUSTE RENDIMIENTOS ENCARGOS  INDIVIDUALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	BBENITEZ	01/09/24	01/09/2024 12:00:00
80240	202409	02/09/24	1	914	CIERRE FONDO INVERSION	1	C	-0,81			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 02-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	02/09/24	02/09/2024 12:00:00
80240	202409	02/09/24	1	914	CIERRE FONDO INVERSION	2	D	0,81			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 02-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	02/09/24	02/09/2024 12:00:00
80240	202409	03/09/24	2	914	CIERRE FONDO INVERSION	1	C	-0,61			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 03-09-2024 Tpmv(86)-RENDIMIENTOS BRUTOS NEGATIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	03/09/24	03/09/2024 12:00:00
80240	202409	03/09/24	2	914	CIERRE FONDO INVERSION	2	D	0,61			51080501001	POR DISMINUCION DEL VALOR RAZONABLE	Cierre de Fondo = 1 Fecha : 03-09-2024 Tpmv(86)-RENDIMIENTOS BRUTOS NEGATIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	03/09/24	03/09/2024 12:00:00
80240	202409	04/09/24	3	914	CIERRE FONDO INVERSION	2	D	0,84			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 04-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	04/09/24	04/09/2024 12:00:00
80240	202409	04/09/24	3	914	CIERRE FONDO INVERSION	1	C	-0,84			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 04-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	04/09/24	04/09/2024 12:00:00
80240	202409	05/09/24	4	914	CIERRE FONDO INVERSION	1	C	-0,4			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 05-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	05/09/24	05/09/2024 12:00:00
