MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
110100	202508	26/08/25	40	904	EGRESO CAJA	5	D	195000000			25110501001	PROVEEDORES	RETIRO (3) .  NRO.CUENTA BANC.(0550470100411870). RETIROS (3) . Cumplimiento pagos:. Orden pago: ""15"" Benef. pago: ""901430849"" Forma de pago : ""92"". Obs:ORFEO 483379 2 / TRASLADO DE RECURSOS CONCEPTO TRASLADO A CUENTA PROPIA	901430849	SAUTARI SAS   	A	PLARGO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	40	904	EGRESO CAJA	2	C	-3782			13020501001	FONDO COMUN ORDINARIO 1	COSTOS DE OPERACION (24) . Cumplimiento pagos:. Orden pago: ""15"" Benef. pago: ""901430849"" Forma de pago : ""92"". Obs:ORFEO 483379 2 / TRASLADO DE RECURSOS CONCEPTO TRASLADO A CUENTA PROPIA	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	PLARGO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	2	D	3782			13020501001	FONDO COMUN ORDINARIO 1	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	4	D	718			13020501001	FONDO COMUN ORDINARIO 1	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	8	D	780000			13020501001	FONDO COMUN ORDINARIO 1	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	5	C	-195000000			25110501001	PROVEEDORES	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	901430849	SAUTARI SAS   	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	7	C	-780000			51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	1	C	-3782			51151201001	SERVICIOS BANCARIOS	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	6	D	195000000			13020501001	FONDO COMUN ORDINARIO 1	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	4	910	COMPROBANTES DE ANULACION	3	C	-718			51151201001	SERVICIOS BANCARIOS	ERROR CUENTA ORIGEN-26/08/2025 Banc Tr 51Cta Tr 004469993176	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MSOTO	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	359	914	CIERRE FONDO INVERSION	2	D	436,43			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 26-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	26/08/25	26/08/2025 12:00:00
110100	202508	26/08/25	359	914	CIERRE FONDO INVERSION	1	C	-436,43			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 26-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	26/08/25	26/08/2025 12:00:00
110100	202508	27/08/25	360	914	CIERRE FONDO INVERSION	1	C	-4666,57			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 27-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	27/08/25	27/08/2025 12:00:00
110100	202508	27/08/25	360	914	CIERRE FONDO INVERSION	2	D	4666,57			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 27-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	27/08/25	27/08/2025 12:00:00
110100	202508	28/08/25	361	914	CIERRE FONDO INVERSION	2	D	4709,89			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 28-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	28/08/25	28/08/2025 12:00:00
110100	202508	28/08/25	361	914	CIERRE FONDO INVERSION	1	C	-4709,89			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 28-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	28/08/25	28/08/2025 12:00:00
110100	202508	29/08/25	362	914	CIERRE FONDO INVERSION	2	D	5464,74			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 29-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	29/08/25	29/08/2025 12:00:00
110100	202508	29/08/25	362	914	CIERRE FONDO INVERSION	1	C	-5464,74			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 29-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	29/08/25	29/08/2025 12:00:00
110100	202508	30/08/25	363	914	CIERRE FONDO INVERSION	2	D	3587,63			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 30-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	30/08/25	30/08/2025 12:00:00
110100	202508	30/08/25	363	914	CIERRE FONDO INVERSION	1	C	-3587,63			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 30-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	30/08/25	30/08/2025 12:00:00
110100	202508	31/08/25	12	905	CIERRES CONTABLES	2	C	-46999,01			59050001002	PÉRDIDAS	Perdida del Periodo.	800900924	PERDIDAS SOCIEDAD	A	YRAIGOSA	31/08/25	31/08/2025 12:00:00
110100	202508	31/08/25	12	905	CIERRES CONTABLES	1	D	46999,01			39200001001	PERDIDA DEL EJERCICIO	Perdida del Periodo.	800900924	PERDIDAS SOCIEDAD	A	YRAIGOSA	31/08/25	31/08/2025 12:00:00
110100	202508	31/08/25	364	914	CIERRE FONDO INVERSION	2	D	3567,16			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 31-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	31/08/25	31/08/2025 12:00:00
110100	202508	31/08/25	364	914	CIERRE FONDO INVERSION	1	C	-3567,16			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 31-08-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	31/08/25	31/08/2025 12:00:00
110100	202509	01/09/25	365	914	CIERRE FONDO INVERSION	1	C	-17,4			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 01-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	01/09/25	01/09/2025 12:00:00
110100	202509	01/09/25	365	914	CIERRE FONDO INVERSION	2	D	17,4			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 01-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	01/09/25	01/09/2025 12:00:00
110100	202509	02/09/25	366	914	CIERRE FONDO INVERSION	1	C	-2591,16			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 02-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	02/09/25	02/09/2025 12:00:00
110100	202509	02/09/25	366	914	CIERRE FONDO INVERSION	2	D	2591,16			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 02-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	02/09/25	02/09/2025 12:00:00
110100	202509	03/09/25	367	914	CIERRE FONDO INVERSION	1	C	-3656,3			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 03-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	03/09/25	03/09/2025 12:00:00
110100	202509	03/09/25	367	914	CIERRE FONDO INVERSION	2	D	3656,3			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 03-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	03/09/25	03/09/2025 12:00:00
110100	202509	04/09/25	368	914	CIERRE FONDO INVERSION	1	C	-5626,21			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 04-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	04/09/25	04/09/2025 12:00:00
110100	202509	04/09/25	368	914	CIERRE FONDO INVERSION	2	D	5626,21			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 04-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	04/09/25	04/09/2025 12:00:00
110100	202509	05/09/25	369	914	CIERRE FONDO INVERSION	1	C	-5795,46			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 05-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	05/09/25	05/09/2025 12:00:00
110100	202509	05/09/25	369	914	CIERRE FONDO INVERSION	2	D	5795,46			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 05-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	05/09/25	05/09/2025 12:00:00
110100	202509	06/09/25	370	914	CIERRE FONDO INVERSION	1	C	-3563,58			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 06-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	06/09/25	06/09/2025 12:00:00
110100	202509	06/09/25	370	914	CIERRE FONDO INVERSION	2	D	3563,58			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 06-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	06/09/25	06/09/2025 12:00:00
110100	202509	07/09/25	371	914	CIERRE FONDO INVERSION	2	D	3549,96			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 07-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	07/09/25	07/09/2025 12:00:00
110100	202509	07/09/25	371	914	CIERRE FONDO INVERSION	1	C	-3549,96			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 07-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	07/09/25	07/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	1	D	3782			51151201001	SERVICIOS BANCARIOS	COSTOS DE OPERACION (24) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	4	C	-718			13020501001	FONDO COMUN ORDINARIO 1	IVA COSTOS DE OPERACION (25) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	2	C	-3782			13020501001	FONDO COMUN ORDINARIO 1	COSTOS DE OPERACION (24) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	9	D	33879,3			51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	CONTRIBUCIÓN ESPECIAL (5) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	7	D	8469825			25011501001	COMISION POR ADMINISTRACION	RETIRO (3) .  NRO.CUENTA BANC.(261062426). RETIROS (3) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	5	D	8469825			35101002009	COMISION FIDUCIARIA	RETIRO (3) .  NRO.CUENTA BANC.(261062426). RETIROS (3) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	8	C	-8469825			13020501001	FONDO COMUN ORDINARIO 1	RETIRO (3) .  NRO.CUENTA BANC.(261062426). RETIROS (3) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	6	C	-8469825			25011501001	COMISION POR ADMINISTRACION	RETIRO (3) .  NRO.CUENTA BANC.(261062426). RETIROS (3) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	PROCESOS	08/09/25	08/09/2025 12:00:00
