FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	10	62	CAUSACION DE PAGOS	851455	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38150 CAPITAL 793334	YRAIGOSA	1
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	11	62	CAUSACION DE PAGOS	0	6204794	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38943 CAPITAL 595000	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	11	62	CAUSACION DE PAGOS	6204794	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38943 CAPITAL 595000	YRAIGOSA	1
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	12	62	CAUSACION DE PAGOS	0	6979671	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-39796 CAPITAL 690200	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	12	62	CAUSACION DE PAGOS	6979671	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-39796 CAPITAL 690200	YRAIGOSA	1
31/01/23	25110501001	2	25	2511	251105	25110501	25110501001	PROVEEDORES	31/01/23	13	2	EGRESOS	1100000000	0	901430849	SAUTARI SAS	JURIDICA	ORFEO 316963 2 RESTITUCION DE APORTE -001-	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	13	2	EGRESOS	0	1100000000	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	ORFEO 316963 2 RESTITUCION DE APORTE -001-	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	14	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-001-	YRAIGOSA	1
31/01/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	31/01/23	14	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -001-	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	14	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-001-	YRAIGOSA	1
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	15	2	EGRESOS	6391977	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38146 CAPITAL 595000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	15	2	EGRESOS	0	6391977	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38146 CAPITAL 595000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	16	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC20-38146-	YRAIGOSA	1
31/01/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	31/01/23	16	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -FC20-38146-	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	16	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-FC20-38146-	YRAIGOSA	1
